Exhibition,Description,Category,Medium,Admission,Date Range,Start Date,End Date,Place,Link,Address,Latitude,Longitude,Geocoordinates
Cuba Is,"This photography exhibition reveals the complexities of contemporary Cuban life, from expressions of loss and hardship of the past to the vibrancy and optimism that defines Cubans today.

Revealing complexities on--and off--the island, Cuba Is explores aspects of Cuba not easily accessed by foreigners--and sometimes not even by Cubans themselves. Born from indigenous, African and European roots, divergent politics and limitations in communication and commerce, the Cuba seen in this exhibition goes beyond the folklore and offers new insight into its current reality. Over 120 photos feature subjects ranging from defiant youth known as “Frikis” to the hard-partying children of the 1%, the underground system of sharing digital content - “El paquete” – to Miami’s Chonga girls.

Cuba Is also includes archival images and work done on assignment by five photographers: Elliot Erwitt, Leysis Quesada, Raúl Cañibano, Tria Giovan and Michael Dweck along with an original documentary, produced by the Annenberg Foundation, highlighting these photographers at work. A virtual reality experience will bring the viewers directly into Cuba’s current and dynamic music scene.","Borders, Diaspora & Displacement"," Film & Video, Photography ",Free,"September 09, 2017 - March 04, 2018 ",9/9/2017,3/4/2018,Annenberg Space for Photography ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Photography-of-cuba"">Link to PST Site</a>","2000 Avenue of the Stars
Los Angeles, CA ",34.0583595,-118.4148332,"34.0583595, -118.4148332"
From Latin America to Hollywood: Latino Film Culture in Los Angeles 1967–2017,"
From Latin America to Hollywood: Latino Film Culture in Los Angeles 1967–2017
Academy of Motion Picture Arts and Sciences
Actor and director Edward James Olmos as El Pachuco in a scene from Zoot Suit (1981). Courtesy of Universal Studies Licensing LLC.
Scroll for more 
This exploration of cross-border influences between Latino and Latin American film cultures of the last 50 years features film screenings, conversations with filmmakers, a publication, and online content.

The Academy of Motion Picture Arts and Sciences will present a series of film screenings, conversations with filmmakers, and online content exploring the shared influences of Latino and Latin American filmmakers and the work they created or presented in Los Angeles during the past half-century. From Latin America to Hollywood: Latino Film Culture in Los Angeles is centered on a period that began with the social, cultural, and political environment of the 1960s that sparked the Chicano and New Latin American cinema movements and extends to the present day. The Academy’s programming is grounded in its extensive series of oral histories with notable Latino and Latin American filmmakers. Their films will be presented together with public conversations about filmmaking and, in some cases, will premiere new Academy Film Archive restorations. The Academy’s programs will offer a rare opportunity for audiences to experience first-hand the perspectives of filmmakers including Gregory Nava, Lucrecia Martel, Edward James Olmos, and Alfonso Cuarón.",Film/Music/Dance Series,Film & Video,Ticketed,"September 23, 2017 - December 11, 2017",9/23/2017,12/11/2017,Academy of Motion Picture Arts and Sciences,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/latino-film-culture-in-los-angeles-1967%E2%80%932017"">Link to PST Site</a>","8949 Wilshire Boulevard  Beverly Hills, CA",34.0673948,-118.3873419,"34.0673948, -118.3873419"
Axis Mundo: Queer Networks in Chicano L.A. ,"This exhibit maps collaborations among queer Chicano artists in the context of broader artistic and cultural movements from the late 1960s to the early 1990s with a focus on fashion, punk music and AIDS activism.

Organized by ONE National Gay & Lesbian Archives at the USC Libraries, Axis Mundo: Queer Networks in Chicano LA maps the intersections and collaborations among a network of queer Chicano artists and their artistic collaborators from the late 1960s to the early 1990s. This period was bookended on one side by the Chicano Moratorium and the gay liberation and feminist movements and on the other by the AIDS crisis. Queer Networks in Chicano LA marks the first historical consideration of these artists in the context of broader artistic and cultural movements: mail art, the rise of alternative print media, fashion culture, punk music, and artists’ responses to the AIDS epidemic. The exhibition will be presented at the ONE Archives’ gallery in West Hollywood and the nearby MOCA Pacific Design Center gallery.",Definitions of Identity," Film & Video, Mixed Media, Painting, Performance, Photography, Prints & Drawing ",Free,"September 09, 2017 - December 31, 2017 ",9/9/2017,12/31/2017,"ONE Gallery, West Hollywood","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Axis-Mundo-MOCAPDC"">Link to PST Site</a>","626 N Robertson Blvd
West Hollywood, CA 90069 ",34.0816922,-118.3852217,"34.0816922, -118.3852217"
Axis Mundo: Queer Networks in Chicano L.A. ,"This exhibit maps collaborations among queer Chicano artists in the context of broader artistic and cultural movements from the late 1960s to the early 1990s with a focus on fashion, punk music and AIDS activism.

Organized by ONE National Gay & Lesbian Archives at the USC Libraries, Axis Mundo: Queer Networks in Chicano LA maps the intersections and collaborations among a network of queer Chicano artists and their artistic collaborators from the late 1960s to the early 1990s. This period was bookended on one side by the Chicano Moratorium and the gay liberation and feminist movements and on the other by the AIDS crisis. Queer Networks in Chicano LA marks the first historical consideration of these artists in the context of broader artistic and cultural movements: mail art, the rise of alternative print media, fashion culture, punk music, and artists’ responses to the AIDS epidemic. The exhibition will be presented at the ONE Archives’ gallery in West Hollywood and the nearby MOCA Pacific Design Center gallery.",Definitions of Identity," Film & Video, Mixed Media, Painting, Performance, Photography, Prints & Drawing ",Free,"September 09, 2017 - December 31, 2017 ",9/9/2017,12/31/2017,MOCA Pacific Design Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Axis-Mundo-MOCAPDC"">Link to PST Site</a>","8687 Melrose Avenue
West Hollywood, CA ",34.0823377,-118.3823671,"34.0823377, -118.3823671"
Mano-Made: New Expression in Craft by Latino Artists ,"

This exhibit features a three-part series of artists who use craft to address Latino identity and the ever-mutating sociopolitical tensions in Los Angeles and California.

This exhibit features a three-part series of artists who use craft to address Latino identity and the ever-mutating sociopolitical tensions in Los Angeles and California. The first exhibition of the series will feature Los Angeles native Jaime Guerrero, one of the first artists in the world to produce life-size figures in glass. Guerrero will create a group of blown-glass, life-size sculptures representing the children who are detained at the border each day. The second exhibition will feature ceramic sculptural works by Oaxaca-born, Los Angeles-based artist Gerardo Monterrubio, who breathes new life into the ceramic vessel with his graphic, polychromatic surface imagery. The final exhibition will be a collaboration between acclaimed fiber artist Consuelo Jimenez Underwood and select students from Craft in America’s educational outreach program at Los Angeles public high schools, where the artist will work with students to create a special installation.
","Borders, Diaspora & Displacement"," Installation, Mixed Media, Sculpture ",Free,"August 26, 2017 - January 20, 2018 ",8/26/2017,1/20/2018,Craft in America,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Mano-Made"">Link to PST Site</a>","8415 w. Third Street
Los Angeles, CA ",34.0732687,-118.3736565,"34.0732687, -118.3736565"
How to Read El Pato Pascual: Disney’s Latin America and Latin America’s Disney ,"This is an exploration of Disney’s engagement with Latin American 
imagery and the ways in which Latin American artists responded to, 
played with, reappropriated, and misappropriated Disney’s iconography.",Critiquing Globalism and Modernism,"Architecture & Design, Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture",Ticketed,"September 09, 2017 - January 14, 2019",9/9/2017,1/14/2019,"MAK Center for Art and Architecture, Los Angeles","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/El-Pato-Pascual-Disney-Latin-America"">Link to PST Site</a>","835 N Kings Road, Los Angeles, CA
                           ",34.0864145,-118.372161,"34.0864145, -118.372161"
A Universal History of Infamy ,"

This exhibit features new works from boundary-defying artists who adopt methods from anthropology, theater, and linguisitcs at three venues from West LA to Midcity.

Referencing the title of a genre-bending collection of stories by Jorge Luis Borges, A Universal History of Infamy uses multiple venues across Los Angeles, including the LACMA campus, to present new works by more than 15 boundary-defying artists and collectives. Developed for the most part through residencies, the works represent artists who live and practice in several countries; adopt methods from disciplines such as anthropology, theater, and linguistics; mingle research with visual art; and work across a range of media, from installation and sculpture to performance and video. A Universal History of Infamy embraces the collaborative spirit of Pacific Standard Time: LA/LA, bringing together one of the largest partners, LACMA, with one of the smallest, the 18th Street Arts Center in Santa Monica, which organized the residencies.
",Art and Activism,,Ticketed,"August 20, 2017 - February 19, 2018 ",8/20/2017,2/19/2018,,""">Link to PST Site</a>","5905 Wilshire Boulevard
Los Angeles, CA ",34.0637913,-118.3588851,"34.0637913, -118.3588851"
Playing with Fire: Paintings by Carlos Almaraz ,"

One of the most influential artists whose artistic, cultural, and political motivations catalyzed the Chicano Art movement in the 1970s, Almaraz straddled multiple—and often contradictory— identities.

Playing with Fire: Paintings by Carlos Almaraz is the first major retrospective of one of the most influential Los Angeles artists of the 1970s and 1980s. Arguably the first of the many Chicano artists whose artistic, cultural, and political motivations catalyzed the Chicano Art movement in the 1970s, Almaraz began his career with political works for the farm workers’ Causa and co-founded the important artist collective Los Four. Although he saw himself as a cultural activist, Almaraz straddled multiple—and often contradictory—identities that drew from divergent cultures and mores, and his art became less political in focus and more personal, psychological, dreamlike, even mythic and mystical as he evolved artistically. The first to focus predominantly on Almaraz’s large-scale paintings, the exhibition features more than 60 works and includes pastels, ephemera, and notebooks, mostly from 1967 through 1989, the year of the artist’s untimely death at age 48.
",Definitions of Identity,Painting,Ticketed,"August 06, 2017 - December 03, 2017 ",8/6/2017,12/3/2017,LACMA (Los Angeles County Museum of Art) ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Playing-with-Fire-Carlos-Almaraz"">Link to PST Site</a>","5905 Wilshire Boulevard
Los Angeles, CA ",34.062885,-118.359432,"34.062885, -118.359432"
"Painted in Mexico, 1700–1790: Pinxit Mexici ","

This exhibition represents the first serious effort to reposition the history of Mexican painting during the 18th century, a vibrant period marked by major stylistic changes and the invention of new iconographies.

Painted in Mexico, 1700-1790: Pinxit Mexici is a groundbreaking exhibition devoted to a particularly rich period in the history of Mexican painting, marked by major stylistic developments and the invention of fascinating new iconographies. The exhibition presents more than 120 works, many of which have never been shown publicly and were especially restored for this exhibition, contributing to a lasting understanding of Mexican painting and trans-Atlantic artistic connections in the 18th century. The seven themes—Great Masters, Master Story Tellers, Paintings of the Land, The Power of Portraiture, The Allegorical World, and Imagining the Sacred—explore the painters’ great inventiveness and the varying contexts in which they created their works. The exhibition represents the first and most serious effort to date to reposition the history of 18th-century painting in Mexico and will be accompanied by a fully illustrated publication, with scholarly essays written by the leading experts in the field. Co-organized with Fomento Cultural Banamex, Mexico City, the exhibition will subsequently travel to the Metropolitan Museum of Art.
",Pre-Hispanic to Colonial," Painting, Prints & Drawing ",Ticketed,"November 19, 2017 - March 18, 2018 ",11/19/2017,3/18/2018,LACMA (Los Angeles County Museum of Art),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Painted%20in%20Mexico%201700-1790"">Link to PST Site</a>","5905 Wilshire Boulevard
Los Angeles, CA ",34.063027,-118.358531,"34.063027, -118.358531"
"Home—So Different, So Appealing","The artists featured in this show explore one of the most basic social concepts by which individuals, families, nations, and regions understand themselves in relation to others—the idea of “home.""

Home—So Different, So Appealing features U.S. Latino and Latin American artists from the late 1950s to the present who have used the idea of ""home"" as a powerful lens through which to view the profound socioeconomic and political transformations in the hemisphere. Spanning seven decades and covering art styles from Pop Art and Conceptualism to “anarchitecture” and “autoconstrucción,” the artists featured in this show explore one of the most basic social concepts by which individuals, families, nations, and regions understand themselves in relation to others. In the process, their work also offers an alternative narrative of postwar and contemporary art. The show will include works by internationally known figures such as Daniel Joseph Martinez, Gordon Matta-Clark, Raphael Montañez Ortiz, Guillermo Kuitca, and Doris Salcedo, as well as younger emerging artists such as Carmen Argote and Camilo Ontiveros. Including a wide range of media that often incorporate material from actual homes, the exhibition also features several large-scale installations and an outdoor sculpture. This project is organized by LACMA and the Chicano Studies Research Center at UCLA, in collaboration with the Museum of Fine Arts, Houston.",From Abstract to Conceptual Art,"Film & Video, Installation, Mixed Media, Painting, Photography, Prints & Drawing, Sculpture",Ticketed,"June 11, 2017 - October 15, 2017",6/11/2017,10/15/2017,LACMA (Los Angeles County Museum of Art) ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Home-So-Different-So-Appealing"">Link to PST Site</a>","5905 Wilshire Boulevard 
Los Angeles, CA",34.063547,-118.359518,"34.063547, -118.359518"
A Universal History of Infamy ,"This exhibit features new works from boundary-defying artists who adopt 
methods from anthropology, theater, and linguisitcs at three venues from
 West LA to Midcity.",Critiquing Globalism and Modernism,"Film & Video, Installation, Mixed Media, Painting, Performance, Prints & Drawing, Sculpture",Ticketed,"August 20, 2017 - February 19, 2018 ",8/20/2017,2/19/2018,LACMA (Los Angeles County Museum of Art),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/A-Universal-History-of-Infamy-Guatemala"">Link to PST Site</a>","5905 Wilshire Boulevard Los Angeles, CA",34.0637913,-118.3588851,"34.0637913, -118.3588851"
"Home—So Different, So Appealing ","The artists featured in this show explore one of the most basic social concepts by which individuals, families, nations, and regions understand themselves in relation to others—the idea of “home.""",Critiquing Globalism and Modernism,"Film & Video, Installation, Mixed Media, Painting, Photography, Prints & Drawing, Sculpture",Ticketed,"June 11, 2017 - October 15, 2017",6/11/2017,10/15/2017,LACMA (Los Angeles County Museum of Art),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Home-So-Different-So-Appealing"">Link to PST Site</a>","5906 Wilshire Boulevard Los Angeles, CA",34.063294,-118.35889,"34.063294, -118.358890"
"The US-Mexico Border: Place, Imagination, and Possibility ","Contemporary artists explore the border as a physical reality (place), as a subject (imagination), and as a site for production and solution (possibility).

Since the 1990s, the US-Mexico border has become an important site for creative exploration of issues related to emigration, immigration, labor conditions, hybrid identities, and transformation. The US-Mexico Border: Place, Imagination, and Possibility presents the work of contemporary artists who explore the border as a physical reality (place), as a subject (imagination), and as a site for production and solution (possibility). The inclusion of artists from various disciplines, including design, architecture, sculpture, painting, and photography, reflects the ways in which contemporary artists and designers themselves cross disciplinary borders. Many of the artists featured in the exhibition pursue a creative problem-solving process sometimes described as “design thinking,” which involves invention, social engagement, and the task of making. The exhibition will include work by artists and designers such as Teddy Cruz, Adrian Esparza, Consuelo Jimenez Underwood, and Ana Serrano, who have engaged with the border region in their work.","Borders, Diaspora & Displacement"," Architecture & Design, Installation, Mixed Media, Painting, Photography, Prints & Drawing, Sculpture ",Ticketed,"September 10, 2017 - January 07, 2018 ",9/10/2017,1/7/2018,Craft & Folk Art Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/US-Mexico-Border-Place-Imagination-Possibility"">Link to PST Site</a>","5814 Wilshire Boulevard Los Angeles, CA",34.0621895,-118.355588,"34.0621895, -118.355588"
The Cuban Matrix ,"

This in-depth look at contemporary Cuban artwork focuses on the digital media exchange culture of “El Paquete Seminal”: a mirror and method to scrutinize the relationship of Cuban artists to contemporary art and culture within Cuba and internationally.

The Cuban Matrix is an ambitious project featuring an in-depth look at contemporary Cuban artwork, with emphasis on digital media exchange culture. Cuba is navigating two distinct temporal realities: the reality of economic isolation (the blockade) and that of instant communication made possible by increasing access to technology. The focus of The Cuban Matrix is the offline digital “mercado” (marketplace) sharing culture that has arisen around the phenomenon of “El Paquete Semanal”: a weekly terabyte packet comprised of downloaded webpages,information, and entertainment that is shared and consumed throughout Cuban society—a solution to the country’s limited access to virtual information systems. The works comprising The Cuban Matrix explore aspects of the digital mediation between Cuba and the rest of the world, delving into the intersection between the country’s isolation and its increasing interaction with modern technology.
","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Painting, Photography, Sculpture ",Free,"September 09, 2017 - November 04, 2017",9/9/2017,11/4/2017,Torrance Art Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/the-cuban-matrix"">Link to PST Site</a>","3320 Civic Center Drive
Torrance, CA ",33.8396543,-118.3434554,"33.8396543, -118.3434554"
Yoshua Okón: Oracle,"

This exhibition is a three-channel video installation that explores the social and political contradictions of the ongoing Central American children refugee crisis, immigration and the inadequacies of borders and nationalism.

The Torrance Art Museum will present the 2015 project Yoshua Okón: Oracle , a multi-channel video installation exploring immigration, borders and nationalism. In 2014, Oracle, Arizona was the site of a large-scale protest against the entrance of unaccompanied children from Central America into the United States. Exploring both sides of the conflict, Okón spoke with children as well as members of AZ Border Defenders, the group that orchestrated the protest. The protestors are filmed in stark contrast to the children, who sing about the 1954 US invasion of Guatemala and the involvement of the government with transnational corporations. The title also refers to Oracle Corporation, a company whose first customer was the CIA. The installation questions the adequacy and the relevance of nationalism in this transnational age.
","Borders, Diaspora & Displacement"," Film & Video, Installation ",Free,"September 09, 2017 - November 04, 2017 ",9/9/2017,11/4/2017,Torrance Art Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Oracle-Yoshua"">Link to PST Site</a>","3320 Civic Center Drive
Torrance, CA ",33.839218,-118.344153,"33.839218, -118.344153"
Video Art in Latin America ,"More than 60 works of video art from Latin America will be presented in this landmark exhibition, surveying groundbreaking achievements in Latin American video art from the 1960s until today.

Video Art in Latin America is the first major U.S. survey of the subject from the late 1960s until today, featuring works rarely if ever seen in the U.S. and introducing audiences to groundbreaking achievements throughout Latin America. The exhibition begins with the earliest experiments in South America, where video became an important medium for expressing dissent during an era dominated by repressive military regimes, and follows themes that emerged in multiple artistic centers throughout Latin America, from labor, ecology, and migration to borders, memory, and consumption. The exhibition also highlights the ways in which contemporary video artists in Latin America continue to pursue the sociopolitical commitment of earlier work, exploring themes related to identity and the consequences of social inequality, without shying away from humor and irony. The single-channel video programs will be complemented by a selection of environmental video installations.
","Borders, Diaspora & Displacement"," Film & Video, Installation, Performance ",Free,"September 17, 2017 - December 16, 2017 ",9/17/2017,12/16/2017,LAXART,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Video-Art-in-Latin-America"">Link to PST Site</a>","7000 Santa Monica Boulevard
Hollywood, CA ",34.090407,-118.341829,"34.090407, -118.341829"
Video Art in Latin America ,"More than 60 works of video art from Latin America will be presented in 
this landmark exhibition, surveying groundbreaking achievements in Latin
 American video art from the 1960s until today. ",Critiquing Globalism and Modernism,"Film & Video, Installation, Performance",Free,"September 17, 2017 - December 16, 2017",9/17/2017,12/16/2017,LAXART,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Video-Art-in-Latin-America"">Link to PST Site</a>","7000 Santa Monica Boulevard Hollywood, CA",34.090632,-118.34203,"34.090632, -118.342030"
"Café Tacvba, La Santa Cecilia, and More","This series features music from across the Americas, including: Mexico’s alt-rockers Café Tacvba, LA’s La Santa Cecilia, and Chile’s Mon Laferte.

We begin the celebration of Los Angeles diverse Latin American communities with alt rock concert featuring Café Tacvba, undisputed leader of Mexico City’s alt-rock scene, LA’s own La Santa Cecilia and Chilean songstress Mon Laferte, with her raw and deeply layered voice and more to be announced.",Film/Music/Dance Series,Performance,Ticketed,"September 17, 2017",9/17/2017,9/17/2017,Hollywood Bowl,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Cafe-Tacuba-Santa-Cecilia"">Link to PST Site</a>"," 2301 N Highland Ave, Los Angeles, CA 90068",34.1127392,-118.3388562,"34.1127392, -118.3388562"
Jose Dávila: Sense of Place,"This exhibition includes multi-site, large-scale, public sculptures by Jose Dávila, which migrate through and integrate into the diverse urban landscape of Los Angeles to draw a portrait of the city’s many experiences, geographies and histories.

Sense of Place by Guadalajara based artist Jose Dávila is a multi-site, large-scale, public sculpture exhibition migrating through and integrating into the diverse urban landscape of Los Angeles to draw a kind of portrait of the city’s many experiences, geographies and histories. Dávila creates sculptures, installations, collages, and photographic works that use reproduction, homage, and imitation as a means to explore and dismantle the legacies of twentieth century avant-garde art and architecture. Commissioned by LAND, Sense of Place consists of an eight-foot square cube sculpture comprised of 40 unique concrete conjunctional forms. Initially installed in West Hollywood Park, over the course of nine months the sculpture will slowly disassemble its various pieces, migrating to far reaching locales of the city. Public programming will be announced throughout the exhibition to celebrate the sculpture’s migration.",From Abstract to Conceptual Art,"Architecture & Design, Installation, Sculpture",Free,"September 16, 2017 - May 27, 2018",9/16/2017,5/27/2018,LAND (Los Angeles Nomadic Division) ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Jose-Davila-LAND"">Link to PST Site</a>","6775 Santa Monica Boulevard 
Los Angeles , CA",34.091071,-118.3382475,"34.091071, -118.3382475"
"Ism, Ism, Ism: Experimental Cinema in Latin America","This film series features key historical and contemporary time-based Latin American and Latino works, including small-gauge films, recorded performances, ethnographic works, and rigorous formal experiments.

The film series Ism, Ism, Ism: Experimental Cinema in Latin America , organized by Los Angeles Filmforum, spotlights experimental time-based media made by Latin American artists and in Latin America during the 20th century, including small-gauge films, recorded performances, ethnographic works, and rigorous formal experiments. Ism, Ism, Ism is intended to expand the understanding of Latin American experimental cinema to include key works from Argentina, Chile, Colombia, Cuba, Ecuador, Peru, Puerto Rico, and Venezuela, and movements including the social documentaries of El Centro Experimental de la Universidad de Chile and the punk films of Mexico’s Superocheros. Presented at theaters, partner museums, and community spaces throughout Los Angeles, the programs will offer a unique opportunity for audiences to learn about the history, aesthetics, and circulation of independent and experimental filmmaking in the Americas and to see works largely unknown in the United States.",Film/Music/Dance Series,Film & Video,,,,,Los Angeles Filmforum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Experimental-Cinema-in-Latin-America-Ism-Ism-Ism"">Link to PST Site</a>","6522 Hollywood Boulevard 
Los Angeles, CA",34.1013404,-118.3319275,"34.1013404, -118.3319275"
Juan Downey: Radiant Nature,"The early works of artist Juan Downey—many not seen since their originally presentations, will be explored through interactive electronic sculptures, documentation of happenings and performances, and installation.
LACE and Pitzer College Art Galleries will mount a two-part exhibition on the early performance-based works of Juan Downey (1940-1993). Born in Chile, Downey moved to Paris in the 1960s and later settled in Washington, D.C., and then New York, where he developed a practice that included sculpture, performance, installation, and video. Although Downey has become known for his multi-channel video works such as Video Trans Americas (1973–1976) and The Thinking Eye (1976–1977), which critique Eurocentric perspectives regarding Latin American identity, Juan Downey: Radiant Nature will consider his earlier artistic practice. Comprising interactive electronic sculptures, happenings and performances, as well as installation, these earlier bodies of work will be explored for their progressive trans-disciplinary investigation of technology, energy, the environment, and politics. These experimental and ephemeral works have in many cases not been seen since their original presentations and will be reconstructed and restaged based on groundbreaking new research.",From Abstract to Conceptual Art,"Film & Video, Installation, Mixed Media, Performance",Free,"September 13, 2017 - December 03, 2017",9/13/2017,12/3/2017,LACE (Los Angeles Contemporary Exhibitions) ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/juan-downey-radiant-nature-lace"">Link to PST Site</a>","6522 Hollywood Boulevard 
Los Angeles, CA",34.101449,-118.331579,"34.101449, -118.331579"
Latin American Artists in the Marciano Collection,"This exhibition will feature work by Latin American artists in the Marciano collection, many of whose works will be on view in Los Angeles for the first time.

The Marciano Art Foundation presents works by Latin American artists featured in its collection including Allora & Calzadilla, Pia Camil, Jose Davila, Gabriel Kuri, Adrián Villar Rojas, Gabriel Orozco, Damian Ortega, Analia Saban, Alex Da Corte and others. Many of the works on view are being exhibited publicly in Los Angeles for the first time.",From Abstract to Conceptual Art,"Film & Video, Installation, Mixed Media, Painting, Prints & Drawing, Sculpture",Free / RSVP Required,"October 19, 2017 - January 20, 2018",10/19/2017,1/20/2018,Marciano Art Foundation,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/latin-american-artists-in-the-marciano-collection"">Link to PST Site</a>","4357 Wilshire Blvd 
Los Angeles, CA",34.0621296,-118.3239503,"34.0621296, -118.3239503"
Condemned To Be Modern ,"The artists in this exhibition explore the connection of modernist 
architecture with political ideologies, social values, and contemporary 
reality, engendering dialogue about the role of government and public 
policy in the development, preservation, and use of the built 
environment.",Design / Architecture,"Architecture & Design, Film & Video, Installation, Mixed Media, Painting, Photography, Prints & Drawing",Free,"September 10, 2017-January 27, 2018
                                
                            ",9/10/2017,1/27/2018,Los Angeles Municipal Art Gallery,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Learning-from-Latin-America-Art-Architecture-Visions-of-Modernism"">Link to PST Site</a>","4800 Hollywood Boulevard Los Angeles, CA",34.1003674,-118.29433,"34.1003674, -118.29433"
Coastal/Border ,"

Six Southern California–based artists lead multimedia projects mapping the geopolitical implications of the largest West Coast ports situated in San Pedro as part of a larger conversation about the United States border.

Part of a year-long series of artist-led programs, Coastal/Border will examine the function of the San Pedro coast as a national border and its impact on the Latino/Latina communities of the Los Angeles Harbor Region as part of a larger conversation about the United States border. The exhibition will emerge from a site-specific performance series and closely related social practice workshops. Six artists will be invited to create research-driven performances centered on specific sites in the Los Angeles Harbor Region, such as the Port of America, Terminal Island, and Fort MacArthur. As part of their extended research process, the artists will also lead educational workshops to allow for meaningful community involvement in the resulting exhibition and performances.
","Borders, Diaspora & Displacement"," Film & Video, Mixed Media, Performance ",Free,"September 17, 2017 - December 17, 2017 ",9/17/2017,12/17/2017,Angels Gate Cultural Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Coastal-Border"">Link to PST Site</a>","3601 South Gaffey Street
San Pedro, CA ",33.7119935,-118.2941708,"33.7119935, -118.2941708"
James hd Brown: Life and Work in Mexico ,"

This exhibition will feature Brown’s creation of limited-edition artists' books in collaboration with influential artists from the US and Mexico. Also featured are Brown's own large-scale paintings in a seminal series called “My Other House.""

Born in 1951 in Glendale, CA, James hd Brown relocated with his family to Oaxaca, Mexico in 1995 where he founded Carpe Diem Press. Collaborating with Linotípográfica Quintas, Brown creates limited edition art books featuring the work of influential artists from the US and Mexico. Brown often includes original prints made by the artists to be inserted in the books themselves. USC Fisher Museum of Art will highlight Brown’s unique artist press, featuring approximately twenty books and related ephemera. Some of the artists in the Carpe Diem series include Joan Jonas, Graciela Iturbide, Kiki Smith, and Francisco Toledo. Brown will be producing a new artist book especially for PST: LA/LA. The exhibition will also feature Brown’s ""My Other House,” begun in 2009 and worked on continuously since then. The idea for this project came to Brown after his two sons discovered a staircase in their home, leading to an “almost secret” mezzanine. Nobody else was allowed in this place, a sanctuary that the boys called “my other house”. Brown began investigating the idea of having another physical or imaginary place that is fundamental to one's creative and imaginative life. “My Other House"" will be installed in the four main galleries at the USC Fisher Museum of Art.
","Borders, Diaspora & Displacement"," Mixed Media, Painting, Prints & Drawing ",Free,"September 19, 2017 - December 02, 2017 ",9/19/2017,12/2/2017,USC Fisher Museum of Art ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/James-hd-Brown-Life-Work-Mexico"">Link to PST Site</a>","823 Exposition Boulevard
Los Angeles, CA ",34.0188374,-118.2873054,"34.0188374, -118.2873054"
Musical Interventions,"Curated by USC Professor Josh Kun, this multi-part, multi-venue “musical exhibition” and accompanying catalog of essays explore the musical networks between Los Angeles and various Latin American communities and cultures.

Musical Interventions , organized by historian and professor of popular music Dr. Josh Kun, creates a multi-part “musical exhibition” exploring the musical networks between Los Angeles and various Latin American communities and cultures. Events will include a free outdoor big-band celebration of Latin American composers in Hollywood featuring the Mexican Institute of Sound at the Getty; a free concert of leading Latina vocalists paying tribute to Peruvian soprano Yma Sumac at the Hammer; an outdoor sound installation and performance by Guillermo Galindo at the Huntington Library, Art Collections and Botanical Gardens; a concert in UCLA’s Royce Hall honoring the Brazilian musical legacy in Los Angeles, including the classic funk album A Bad Donato; an imaginative updating of a traditional Spanish-language variety show; and a performance at LACMA of newly commissioned music from Los Angeles experimental rock band Chicano Batman, inspired by the paintings of Carlos Almaraz. Full descriptions of events, including dates and locations, will be available online in summer 2017.",Film/Music/Dance Series,Music,,"September 01, 2017 - January 31, 2018",9/1/2017,1/31/2018,,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Musical-Intervention"">Link to PST Site</a>","3502 Watt Way 
Los Angeles, CA",34.0220167,-118.2865969,"34.0220167, -118.2865969"
